team,spell_no,manager,start_date,end_date,matches,stand_in_matches,first_season,last_season,change_timing
Southampton,6,Ralph Hasenhüttl,2018-12-08,2022-11-06,151,0,2018/19,2022/23,mid_season
Southampton,7,Nathan Jones,2022-11-12,2023-02-11,8,0,2022/23,2022/23,mid_season
Southampton,8,Rubén Sellés,2023-02-18,2023-05-28,16,0,2022/23,2022/23,mid_season
Southampton,9,Russell Martin,2024-08-17,2024-12-15,16,0,2024/25,2024/25,between_seasons
Southampton,10,Simon Rusk,2024-12-22,2024-12-22,1,0,2024/25,2024/25,mid_season
Southampton,11,Ivan Juric,2024-12-26,2025-04-06,14,0,2024/25,2024/25,mid_season
Southampton,12,Simon Rusk,2025-04-12,2025-05-25,7,0,2024/25,2024/25,mid_season
Stoke,1,Mark Hughes,2014-08-16,2018-01-01,136,0,2014/15,2017/18,
Stoke,2,Eddie Niedzwiecki,2018-01-15,2018-01-15,1,0,2017/18,2017/18,mid_season
Stoke,3,Paul Lambert,2018-01-20,2018-05-13,15,0,2017/18,2017/18,mid_season
Sunderland,1,Gustavo Poyet,2014-08-16,2015-03-14,29,0,2014/15,2014/15,
Sunderland,2,Dick Advocaat,2015-03-21,2015-10-03,17,0,2014/15,2015/16,mid_season
Sunderland,3,Sam Allardyce,2015-10-17,2016-05-15,30,0,2015/16,2015/16,mid_season
Sunderland,4,David Moyes,2016-08-13,2017-05-21,38,0,2016/17,2016/17,between_seasons
Sunderland,5,Régis Le Bris,2025-08-16,2026-05-24,38,0,2025/26,2025/26,between_seasons
Swansea,1,Garry Monk,2014-08-16,2015-12-05,53,0,2014/15,2015/16,
Swansea,2,Alan Curtis,2015-12-12,2016-01-18,7,0,2015/16,2015/16,mid_season
Swansea,3,Francesco Guidolin,2016-01-24,2016-10-01,23,3,2015/16,2016/17,mid_season
Swansea,4,Bob Bradley,2016-10-15,2016-12-26,11,0,2016/17,2016/17,mid_season
Swansea,5,Alan Curtis,2016-12-31,2017-01-03,2,0,2016/17,2016/17,mid_season
Swansea,6,Paul Clement,2017-01-14,2017-12-18,36,0,2016/17,2017/18,mid_season
Swansea,7,Leon Britton,2017-12-23,2017-12-26,2,0,2017/18,2017/18,mid_season
Swansea,8,Carlos Carvalhal,2017-12-30,2018-05-13,18,0,2017/18,2017/18,mid_season
Tottenham,1,Mauricio Pochettino,2014-08-16,2019-11-09,202,0,2014/15,2019/20,
Tottenham,2,José Mourinho,2019-11-23,2021-04-16,58,0,2019/20,2020/21,mid_season
Tottenham,3,Ryan Mason,2021-04-21,2021-05-23,6,0,2020/21,2020/21,mid_season
Tottenham,4,Nuno Espírito Santo,2021-08-15,2021-10-30,10,0,2021/22,2021/22,between_seasons
Tottenham,5,Antonio Conte,2021-11-07,2023-03-18,56,0,2021/22,2022/23,mid_season
Tottenham,6,Cristian Stellini,2023-04-03,2023-04-23,4,0,2022/23,2022/23,mid_season
Tottenham,7,Ryan Mason,2023-04-27,2023-05-28,6,0,2022/23,2022/23,mid_season
Tottenham,8,Ange Postecoglou,2023-08-13,2025-05-25,76,0,2023/24,2024/25,between_seasons
Tottenham,9,Thomas Frank,2025-08-16,2026-02-10,26,0,2025/26,2025/26,between_seasons
Tottenham,10,Igor Tudor,2026-02-22,2026-03-22,5,0,2025/26,2025/26,mid_season
Tottenham,11,Roberto De Zerbi,2026-04-12,2026-05-24,7,0,2025/26,2025/26,mid_season
Watford,1,Quique Sánchez Flores,2015-08-08,2016-05-15,38,0,2015/16,2015/16,
Watford,2,Walter Mazzarri,2016-08-13,2017-05-21,38,0,2016/17,2016/17,between_seasons
Watford,3,Marco Silva,2017-08-12,2018-01-20,24,0,2017/18,2017/18,between_seasons
Watford,4,Javi Gracia,2018-01-31,2019-08-31,56,0,2017/18,2019/20,mid_season
Watford,5,Quique Sánchez Flores,2019-09-15,2019-11-30,10,0,2019/20,2019/20,mid_season
Watford,6,Hayden Mullins,2019-12-04,2019-12-07,2,0,2019/20,2019/20,mid_season
Watford,7,Nigel Pearson,2019-12-14,2020-07-17,20,0,2019/20,2019/20,mid_season
Watford,8,Hayden Mullins,2020-07-21,2020-07-26,2,0,2019/20,2019/20,mid_season
Watford,9,Xisco Muñoz,2021-08-14,2021-10-02,7,0,2021/22,2021/22,between_seasons
Watford,10,Claudio Ranieri,2021-10-16,2022-01-21,13,0,2021/22,2021/22,mid_season
Watford,11,Roy Hodgson,2022-02-05,2022-05-22,18,0,2021/22,2021/22,mid_season
West Brom,1,Alan Irvine,2014-08-16,2014-12-28,19,0,2014/15,2014/15,
West Brom,2,Rob Kelly,2015-01-01,2015-01-01,1,0,2014/15,2014/15,mid_season
West Brom,3,Tony Pulis,2015-01-10,2017-11-18,106,0,2014/15,2017/18,mid_season
West Brom,4,Gary Megson,2017-11-25,2017-11-28,2,0,2017/18,2017/18,mid_season
West Brom,5,Alan Pardew,2017-12-02,2018-03-31,18,0,2017/18,2017/18,mid_season
West Brom,6,Darren Moore,2018-04-07,2018-05-13,6,0,2017/18,2017/18,mid_season
West Brom,7,Slaven Bilic,2020-09-13,2020-12-15,13,0,2020/21,2020/21,between_seasons
West Brom,8,Sam Allardyce,2020-12-20,2021-05-23,25,0,2020/21,2020/21,mid_season
West Ham,1,Sam Allardyce,2014-08-16,2015-05-24,38,0,2014/15,2014/15,
West Ham,2,Slaven Bilic,2015-08-09,2017-11-04,87,0,2015/16,2017/18,between_seasons
West Ham,3,David Moyes,2017-11-19,2018-05-13,27,0,2017/18,2017/18,mid_season
West Ham,4,Manuel Pellegrini,2018-08-12,2019-12-28,57,0,2018/19,2019/20,between_seasons
West Ham,5,David Moyes,2020-01-01,2024-05-19,171,0,2019/20,2023/24,mid_season
West Ham,6,Julen Lopetegui,2024-08-17,2025-01-04,20,0,2024/25,2024/25,between_seasons
West Ham,7,Graham Potter,2025-01-14,2025-09-20,23,0,2024/25,2025/26,mid_season
West Ham,8,Nuno Espírito Santo,2025-09-29,2026-05-24,33,0,2025/26,2025/26,mid_season
Wolves,1,Nuno Espírito Santo,2018-08-11,2021-05-23,114,0,2018/19,2020/21,
Wolves,2,Bruno Lage,2021-08-14,2022-10-01,46,0,2021/22,2022/23,between_seasons
Wolves,3,Steve Davis,2022-10-08,2022-11-12,7,0,2022/23,2022/23,mid_season
Wolves,4,Julen Lopetegui,2022-12-26,2023-05-28,23,0,2022/23,2022/23,mid_season
Wolves,5,Gary O'Neil,2023-08-14,2024-12-14,54,0,2023/24,2024/25,between_seasons
Wolves,6,Vítor Pereira,2024-12-22,2025-11-01,32,0,2024/25,2025/26,mid_season
Wolves,7,Jamie Collins,2025-11-08,2025-11-08,1,0,2025/26,2025/26,mid_season
Wolves,8,Rob Edwards,2025-11-22,2026-05-24,27,0,2025/26,2025/26,mid_season
