event_idx,group,relative_match,points,team,season,manager,appointment_type
6486,Changed manager,-9,0.0,Nott'm Forest,2025/26,Vítor Pereira,permanent
6521,Changed manager,-9,3.0,QPR,2014/15,Chris Ramsey,caretaker_made_permanent
6602,Changed manager,-9,3.0,Sheffield United,2020/21,Paul Heckingbottom,caretaker_made_permanent
6626,Changed manager,-9,0.0,Sheffield United,2023/24,Chris Wilder,permanent
6816,Changed manager,-9,0.0,Southampton,2018/19,Kelvin Davis,caretaker
6968,Changed manager,-9,0.0,Southampton,2022/23,Nathan Jones,permanent
7008,Changed manager,-9,0.0,Southampton,2024/25,Simon Rusk,caretaker
7166,Changed manager,-9,0.0,Stoke,2017/18,Eddie Niedzwiecki,caretaker
7387,Changed manager,-9,0.0,Swansea,2015/16,Alan Curtis,caretaker_made_permanent
7428,Changed manager,-9,0.0,Swansea,2016/17,Alan Curtis,caretaker
7466,Changed manager,-9,0.0,Swansea,2017/18,Leon Britton,caretaker
7688,Changed manager,-9,1.0,Tottenham,2019/20,José Mourinho,permanent
7762,Changed manager,-9,3.0,Tottenham,2021/22,Antonio Conte,permanent
7818,Changed manager,-9,0.0,Tottenham,2022/23,Cristian Stellini,caretaker
7930,Changed manager,-9,3.0,Tottenham,2025/26,Igor Tudor,permanent
8042,Changed manager,-9,0.0,Watford,2017/18,Javi Gracia,permanent
8108,Changed manager,-9,0.0,Watford,2019/20,Hayden Mullins,caretaker
8152,Changed manager,-9,3.0,Watford,2021/22,Roy Hodgson,permanent
8189,Changed manager,-9,0.0,West Brom,2014/15,Rob Kelly,caretaker
8296,Changed manager,-9,0.0,West Brom,2017/18,Gary Megson,caretaker
8335,Changed manager,-9,1.0,West Brom,2020/21,Sam Allardyce,permanent
8485,Changed manager,-9,0.0,West Ham,2017/18,David Moyes,permanent
8569,Changed manager,-9,0.0,West Ham,2019/20,David Moyes,permanent
8760,Changed manager,-9,3.0,West Ham,2024/25,Graham Potter,permanent
9060,Changed manager,-9,0.0,Wolves,2024/25,Vítor Pereira,permanent
9092,Changed manager,-9,0.0,Wolves,2025/26,Jamie Collins,caretaker
203,Matched controls (kept manager),-9,1.261467889908257,Arsenal,2019/20,Freddie Ljungberg,caretaker
481,Matched controls (kept manager),-9,0.21428571428571427,Aston Villa,2014/15,Tim Sherwood,permanent
504,Matched controls (kept manager),-9,0.4897959183673469,Aston Villa,2015/16,Kevin MacDonald,caretaker
619,Matched controls (kept manager),-9,1.3297872340425532,Aston Villa,2021/22,Steven Gerrard,permanent
657,Matched controls (kept manager),-9,1.146919431279621,Aston Villa,2022/23,Aaron Danks,caretaker
2106,Matched controls (kept manager),-9,1.0723684210526316,Chelsea,2015/16,Steve Holland,caretaker
2299,Matched controls (kept manager),-9,1.1563636363636363,Chelsea,2020/21,Thomas Tuchel,permanent
2384,Matched controls (kept manager),-9,1.4083044982698962,Chelsea,2022/23,Bruno Saltor,caretaker
2489,Matched controls (kept manager),-9,2.11,Chelsea,2025/26,Calum McFarlane,caretaker
2526,Matched controls (kept manager),-9,0.8288288288288288,Crystal Palace,2014/15,Keith Millen,caretaker
2601,Matched controls (kept manager),-9,0.43859649122807015,Crystal Palace,2016/17,Sam Allardyce,permanent
2839,Matched controls (kept manager),-9,0.611764705882353,Crystal Palace,2022/23,Patrick McCarthy,caretaker
2874,Matched controls (kept manager),-9,0.7210884353741497,Crystal Palace,2023/24,Ray Lewington,caretaker
3169,Matched controls (kept manager),-9,0.8409090909090909,Everton,2019/20,Duncan Ferguson,caretaker
3249,Matched controls (kept manager),-9,0.5686274509803921,Everton,2021/22,Duncan Ferguson,caretaker
3288,Matched controls (kept manager),-9,0.611764705882353,Everton,2022/23,Sean Dyche,permanent
3363,Matched controls (kept manager),-9,1.0723684210526316,Everton,2024/25,David Moyes,permanent
3432,Matched controls (kept manager),-9,0.611764705882353,Fulham,2018/19,Claudio Ranieri,permanent
3448,Matched controls (kept manager),-9,0.8409090909090909,Fulham,2018/19,Scott Parker,permanent
3708,Matched controls (kept manager),-9,0.43859649122807015,Huddersfield,2018/19,Mark Hudson,caretaker
3782,Matched controls (kept manager),-9,0.7671232876712328,Hull,2016/17,Marco Silva,permanent
3902,Matched controls (kept manager),-9,0.8409090909090909,Leeds,2021/22,Jesse Marsch,permanent
3934,Matched controls (kept manager),-9,1.146919431279621,Leeds,2022/23,Michael Skubala,caretaker
4091,Matched controls (kept manager),-9,0.611764705882353,Leicester,2016/17,Craig Shakespeare,caretaker_made_permanent
4169,Matched controls (kept manager),-9,1.3297872340425532,Leicester,2018/19,Mike Stowell,caretaker
4322,Matched controls (kept manager),-9,1.0723684210526316,Leicester,2022/23,Adam Sadler,caretaker
4344,Matched controls (kept manager),-9,1.146919431279621,Leicester,2024/25,Ben Dawson,caretaker
5489,Matched controls (kept manager),-9,1.9333333333333333,Man United,2018/19,Ole Gunnar Solskjær,permanent
5598,Matched controls (kept manager),-9,1.4817518248175183,Man United,2021/22,Michael Carrick,caretaker
5758,Matched controls (kept manager),-9,1.2857142857142858,Man United,2025/26,Darren Fletcher,caretaker
5803,Matched controls (kept manager),-9,0.43859649122807015,Middlesbrough,2016/17,Steve Agnew,caretaker
5833,Matched controls (kept manager),-9,2.0112994350282487,Newcastle,2014/15,John Carver,caretaker_made_permanent
5880,Matched controls (kept manager),-9,0.8409090909090909,Newcastle,2015/16,Rafael Benítez,permanent
6319,Matched controls (kept manager),-9,0.3181818181818182,Norwich,2021/22,Dean Smith,permanent
6401,Matched controls (kept manager),-9,0.7671232876712328,Nott'm Forest,2023/24,Nuno Espírito Santo,permanent
6486,Matched controls (kept manager),-9,0.9637096774193549,Nott'm Forest,2025/26,Vítor Pereira,permanent
6521,Matched controls (kept manager),-9,1.11864406779661,QPR,2014/15,Chris Ramsey,caretaker_made_permanent
6602,Matched controls (kept manager),-9,0.8649789029535865,Sheffield United,2020/21,Paul Heckingbottom,caretaker_made_permanent
6626,Matched controls (kept manager),-9,0.43859649122807015,Sheffield United,2023/24,Chris Wilder,permanent
6816,Matched controls (kept manager),-9,0.5233644859813084,Southampton,2018/19,Kelvin Davis,caretaker
6968,Matched controls (kept manager),-9,1.0723684210526316,Southampton,2022/23,Nathan Jones,permanent
7008,Matched controls (kept manager),-9,0.4897959183673469,Southampton,2024/25,Simon Rusk,caretaker
7166,Matched controls (kept manager),-9,0.8288288288288288,Stoke,2017/18,Eddie Niedzwiecki,caretaker
7387,Matched controls (kept manager),-9,0.7671232876712328,Swansea,2015/16,Alan Curtis,caretaker_made_permanent
7428,Matched controls (kept manager),-9,1.11864406779661,Swansea,2016/17,Alan Curtis,caretaker
7466,Matched controls (kept manager),-9,0.21212121212121213,Swansea,2017/18,Leon Britton,caretaker
7688,Matched controls (kept manager),-9,0.9872611464968153,Tottenham,2019/20,José Mourinho,permanent
7762,Matched controls (kept manager),-9,1.6923076923076923,Tottenham,2021/22,Antonio Conte,permanent
7818,Matched controls (kept manager),-9,1.9333333333333333,Tottenham,2022/23,Cristian Stellini,caretaker
7930,Matched controls (kept manager),-9,0.8288288288288288,Tottenham,2025/26,Igor Tudor,permanent
8042,Matched controls (kept manager),-9,0.5686274509803921,Watford,2017/18,Javi Gracia,permanent
8108,Matched controls (kept manager),-9,0.5357142857142857,Watford,2019/20,Hayden Mullins,caretaker
8152,Matched controls (kept manager),-9,0.43859649122807015,Watford,2021/22,Roy Hodgson,permanent
8189,Matched controls (kept manager),-9,0.8409090909090909,West Brom,2014/15,Rob Kelly,caretaker
8296,Matched controls (kept manager),-9,0.4897959183673469,West Brom,2017/18,Gary Megson,caretaker
8335,Matched controls (kept manager),-9,0.7671232876712328,West Brom,2020/21,Sam Allardyce,permanent
8485,Matched controls (kept manager),-9,1.146919431279621,West Ham,2017/18,David Moyes,permanent
8569,Matched controls (kept manager),-9,0.5357142857142857,West Ham,2019/20,David Moyes,permanent
