team,manager,spell_no,start_date,end_date,matches,ppg,xgd_per_game,appointment_type,change_timing,prev_departure,position_at_vacancy
Watford,Quique Sánchez Flores,5,2019-09-15,2019-11-30,10,0.7,-0.69,permanent,mid_season,sacked,20th
Watford,Hayden Mullins,6,2019-12-04,2019-12-07,2,0.5,-0.36,caretaker,mid_season,,
Watford,Nigel Pearson,7,2019-12-14,2020-07-17,20,1.25,-0.04,permanent,mid_season,sacked,20th
Watford,Hayden Mullins,8,2020-07-21,2020-07-26,2,0.0,-0.82,caretaker,mid_season,sacked,17th
Watford,Xisco Muñoz,9,2021-08-14,2021-10-02,7,1.0,-0.75,caretaker,between_seasons,,
Watford,Claudio Ranieri,10,2021-10-16,2022-01-21,13,0.54,-0.77,permanent,mid_season,sacked,14th
Watford,Roy Hodgson,11,2022-02-05,2022-05-22,18,0.5,-0.72,permanent,mid_season,sacked,19th
West Brom,Alan Irvine,1,2014-08-16,2014-12-28,19,0.89,-0.24,first spell in data,,,
West Brom,Rob Kelly,2,2015-01-01,2015-01-01,1,1.0,-0.01,caretaker,mid_season,,
West Brom,Tony Pulis,3,2015-01-10,2017-11-18,106,1.17,-0.36,permanent,mid_season,sacked,16th
West Brom,Gary Megson,4,2017-11-25,2017-11-28,2,1.0,-0.74,caretaker,mid_season,,
West Brom,Alan Pardew,5,2017-12-02,2018-03-31,18,0.44,-0.26,permanent,mid_season,sacked,17th
West Brom,Darren Moore,6,2018-04-07,2018-05-13,6,1.83,-0.38,caretaker,mid_season,mutual_consent,20th
West Brom,Slaven Bilic,7,2020-09-13,2020-12-15,13,0.54,-1.46,appointed_outside_pl,between_seasons,,
West Brom,Sam Allardyce,8,2020-12-20,2021-05-23,25,0.76,-0.8,permanent,mid_season,sacked,19th
West Ham,Sam Allardyce,1,2014-08-16,2015-05-24,38,1.24,-0.28,first spell in data,,,
West Ham,Slaven Bilic,2,2015-08-09,2017-11-04,87,1.33,-0.25,permanent,between_seasons,end_of_contract,Pre-season
West Ham,David Moyes,3,2017-11-19,2018-05-13,27,1.22,-0.46,permanent,mid_season,sacked,18th
West Ham,Manuel Pellegrini,4,2018-08-12,2019-12-28,57,1.25,-0.6,permanent,between_seasons,end_of_contract,Pre-season
West Ham,David Moyes,5,2020-01-01,2024-05-19,171,1.36,-0.11,permanent,mid_season,sacked,17th
West Ham,Julen Lopetegui,6,2024-08-17,2025-01-04,20,1.15,-0.58,permanent,between_seasons,end_of_contract,Pre-season
West Ham,Graham Potter,7,2025-01-14,2025-09-20,23,1.0,-0.44,permanent,mid_season,sacked,14th
West Ham,Nuno Espírito Santo,8,2025-09-29,2026-05-24,33,1.09,-0.43,permanent,mid_season,sacked,19th
Wolves,Nuno Espírito Santo,1,2018-08-11,2021-05-23,114,1.41,0.12,first spell in data,,,
Wolves,Bruno Lage,2,2021-08-14,2022-10-01,46,1.24,-0.47,permanent,between_seasons,mutual_consent,Pre-season
Wolves,Steve Davis,3,2022-10-08,2022-11-12,7,0.57,-0.65,caretaker,mid_season,sacked,18th
Wolves,Julen Lopetegui,4,2022-12-26,2023-05-28,23,1.35,-0.91,permanent,mid_season,end_of_caretaker,20th
Wolves,Gary O'Neil,5,2023-08-14,2024-12-14,54,1.02,-0.7,permanent,between_seasons,mutual_consent,Pre-season
Wolves,Vítor Pereira,6,2024-12-22,2025-11-01,32,1.09,-0.3,permanent,mid_season,sacked,19th
Wolves,Jamie Collins,7,2025-11-08,2025-11-08,1,0.0,-3.87,caretaker,mid_season,,
Wolves,Rob Edwards,8,2025-11-22,2026-05-24,27,0.67,-0.75,permanent,mid_season,sacked,20th
