season,date,team,opponent,venue,goals_for,goals_against,points,xg_for,xg_against,head_coach,appointment_type,rolling_ppg_10
2017/18,2018-05-09,Arsenal,Leicester,Away,1,3,0,1.54,2.2,Arsène Wenger,first spell in data,1.5
2017/18,2018-05-13,Arsenal,Huddersfield,Away,1,0,3,2.33,1.31,Arsène Wenger,first spell in data,1.8
2018/19,2018-08-12,Arsenal,Man City,Home,0,2,0,0.45,2.02,Unai Emery,permanent,1.8
2018/19,2018-08-18,Arsenal,Chelsea,Away,2,3,0,2.46,1.72,Unai Emery,permanent,1.5
2018/19,2018-08-25,Arsenal,West Ham,Home,3,1,3,1.79,1.18,Unai Emery,permanent,1.5
2018/19,2018-09-02,Arsenal,Cardiff,Away,3,2,3,1.41,0.77,Unai Emery,permanent,1.5
2018/19,2018-09-15,Arsenal,Newcastle,Away,2,1,3,0.9,0.41,Unai Emery,permanent,1.8
2018/19,2018-09-23,Arsenal,Everton,Home,2,0,3,0.93,1.07,Unai Emery,permanent,1.8
2018/19,2018-09-29,Arsenal,Watford,Home,2,0,3,1.57,2.62,Unai Emery,permanent,2.1
2018/19,2018-10-07,Arsenal,Fulham,Away,5,1,3,1.14,1.32,Unai Emery,permanent,2.1
2018/19,2018-10-22,Arsenal,Leicester,Home,3,1,3,2.92,0.93,Unai Emery,permanent,2.4
2018/19,2018-10-28,Arsenal,Crystal Palace,Away,2,2,1,0.85,2.38,Unai Emery,permanent,2.2
2018/19,2018-11-03,Arsenal,Liverpool,Home,1,1,1,1.62,1.2,Unai Emery,permanent,2.3
2018/19,2018-11-11,Arsenal,Wolves,Home,1,1,1,0.97,1.87,Unai Emery,permanent,2.4
2018/19,2018-11-25,Arsenal,Bournemouth,Away,2,1,3,1.71,0.65,Unai Emery,permanent,2.4
2018/19,2018-12-02,Arsenal,Tottenham,Home,4,2,3,2.71,1.09,Unai Emery,permanent,2.4
2018/19,2018-12-05,Arsenal,Man United,Away,2,2,1,1.73,1.34,Unai Emery,permanent,2.2
2018/19,2018-12-08,Arsenal,Huddersfield,Home,1,0,3,2.02,0.31,Unai Emery,permanent,2.2
2018/19,2018-12-16,Arsenal,Southampton,Away,2,3,0,1.86,1.21,Unai Emery,permanent,1.9
2018/19,2018-12-22,Arsenal,Burnley,Home,3,1,3,1.47,1.03,Unai Emery,permanent,1.9
2018/19,2018-12-26,Arsenal,Brighton,Away,1,1,1,0.79,1.39,Unai Emery,permanent,1.7
2018/19,2018-12-29,Arsenal,Liverpool,Away,1,5,0,1.08,3.71,Unai Emery,permanent,1.6
2018/19,2019-01-01,Arsenal,Fulham,Home,4,1,3,4.43,1.71,Unai Emery,permanent,1.8
2018/19,2019-01-12,Arsenal,West Ham,Away,0,1,0,0.69,0.67,Unai Emery,permanent,1.7
2018/19,2019-01-19,Arsenal,Chelsea,Home,2,0,3,2.09,0.76,Unai Emery,permanent,1.7
2018/19,2019-01-29,Arsenal,Cardiff,Home,2,1,3,2.69,0.6,Unai Emery,permanent,1.7
2018/19,2019-02-03,Arsenal,Man City,Away,1,3,0,0.7,3.03,Unai Emery,permanent,1.6
2018/19,2019-02-09,Arsenal,Huddersfield,Away,2,1,3,1.47,1.97,Unai Emery,permanent,1.6
2018/19,2019-02-24,Arsenal,Southampton,Home,2,0,3,2.35,0.61,Unai Emery,permanent,1.9
2018/19,2019-02-27,Arsenal,Bournemouth,Home,5,1,3,3.19,0.89,Unai Emery,permanent,1.9
2018/19,2019-03-02,Arsenal,Tottenham,Away,1,1,1,3.46,1.77,Unai Emery,permanent,1.9
2018/19,2019-03-10,Arsenal,Man United,Home,2,0,3,1.53,2.37,Unai Emery,permanent,2.2
2018/19,2019-04-01,Arsenal,Newcastle,Home,2,0,3,1.04,0.04,Unai Emery,permanent,2.2
2018/19,2019-04-07,Arsenal,Everton,Away,0,1,0,0.2,2.69,Unai Emery,permanent,2.2
2018/19,2019-04-15,Arsenal,Watford,Away,1,0,3,2.27,1.13,Unai Emery,permanent,2.2
2018/19,2019-04-21,Arsenal,Crystal Palace,Home,2,3,0,1.54,2.56,Unai Emery,permanent,1.9
2018/19,2019-04-24,Arsenal,Wolves,Away,1,3,0,0.94,0.98,Unai Emery,permanent,1.9
2018/19,2019-04-28,Arsenal,Leicester,Away,0,3,0,0.6,3.68,Unai Emery,permanent,1.6
2018/19,2019-05-05,Arsenal,Brighton,Home,1,1,1,2.36,1.91,Unai Emery,permanent,1.4
2018/19,2019-05-12,Arsenal,Burnley,Away,3,1,3,2.87,1.73,Unai Emery,permanent,1.4
