team_id,team,season,points,xgd_pg,start,spend_eur,signings,paid_signings,spend_rel,first_coach,last_coach,points_prev,xgd_prev,prev_last_coach,d_points,d_xgd,new_manager,log_spend
8,Chelsea,2018/19,72,0.6805346578947369,2018,137000000.0,3.0,2.0,2.155257175669192,84,84,70,0.6612098763157895,11,2,0.019324781578947348,1,1.1490700063539034
8,Chelsea,2019/20,66,0.9247233447368423,2019,45000000.0,1.0,1.0,0.6204329243071832,46,46,72,0.6805346578947369,84,-6,0.24418868684210537,1,0.48269335076944175
8,Chelsea,2020/21,67,0.9934507631578947,2020,267200000.0,7.0,5.0,4.673947552780885,46,137,66,0.9247233447368423,46,1,0.06872741842105246,0,1.7358850929144156
8,Chelsea,2021/22,74,0.8995107315789475,2021,113000000.0,3.0,1.0,1.7746786339686054,137,137,67,0.9934507631578947,137,7,-0.09394003157894726,0,1.0205349329133016
8,Chelsea,2022/23,44,-0.05598905263157896,2022,297750000.0,9.0,8.0,2.5967626589454222,137,46,74,0.8995107315789475,137,-30,-0.9554997842105264,0,1.2800341794799126
8,Chelsea,2023/24,63,0.48108107894736835,2023,464100000.0,12.0,11.0,3.3310724244479615,83,83,44,-0.05598905263157896,46,19,0.5370701315789473,1,1.465815184431154
8,Chelsea,2024/25,69,0.49618686842105264,2024,261000000.0,12.0,10.0,2.230712033024794,41,41,63,0.48108107894736835,83,6,0.015105789473684295,1,1.1727025566013585
8,Chelsea,2025/26,52,0.37092097368421045,2025,336850000.0,10.0,9.0,1.8969182469625938,41,20,69,0.49618686842105264,41,-17,-0.1252658947368422,0,1.0636474984934754
9,Crystal Palace,2015/16,42,-0.27450563157894736,2015,4900000.0,1.0,1.0,0.1126747608535688,6,6,48,-0.01914952631578949,6,-6,-0.2553561052631579,0,0.10676681112886859
9,Crystal Palace,2016/17,41,-0.12181536842105263,2016,27300000.0,3.0,2.0,0.5176729368932039,6,123,42,-0.27450563157894736,6,-1,0.15269026315789475,0,0.4171781991672399
9,Crystal Palace,2017/18,44,0.08459039473684213,2017,37200000.0,4.0,2.0,0.5478846791118966,47,114,41,-0.12181536842105263,123,3,0.20640576315789477,1,0.43688927569477737
9,Crystal Palace,2018/19,49,-0.05689786842105265,2018,10700000.0,3.0,1.0,0.16833030496102447,114,114,44,0.08459039473684213,114,5,-0.14148826315789478,0,0.15557563977031216
9,Crystal Palace,2019/20,43,-0.6037968815789473,2019,6100000.0,2.0,2.0,0.08410312973941818,114,114,49,-0.05689786842105265,114,-6,-0.5468990131578947,0,0.08075303662810365
9,Crystal Palace,2020/21,44,-0.7004562789473684,2020,17800000.0,3.0,1.0,0.31136327260291824,114,114,43,-0.6037968815789473,114,1,-0.09665939736842111,0,0.2710672622045654
9,Crystal Palace,2021/22,48,0.19769643157894734,2021,73440000.0,7.0,5.0,1.1533840608730477,99,99,44,-0.7004562789473684,114,4,0.8981527105263157,1,0.7670405865299049
9,Crystal Palace,2022/23,45,-0.28691463157894737,2022,34600000.0,5.0,2.0,0.3017564668329525,99,114,48,0.19769643157894734,99,-3,-0.4846110631578947,0,0.2637144808479961
9,Crystal Palace,2023/24,49,-0.10672048947368419,2023,38700000.0,4.0,3.0,0.27776880591712155,114,97,45,-0.28691463157894737,114,4,0.1801941421052632,0,0.24511543655216872
9,Crystal Palace,2024/25,53,0.2341167105263158,2024,77700000.0,9.0,4.0,0.6640855362683008,97,97,49,-0.10672048947368419,97,4,0.3408372,0,0.5092757450852684
9,Crystal Palace,2025/26,45,0.06342802631578949,2025,55300000.0,7.0,3.0,0.31141332657572046,97,97,53,0.2341167105263158,97,-8,-0.1706886842105263,0,0.2711054308940557
10,Everton,2015/16,47,-0.020203476315789462,2015,19600000.0,3.0,3.0,0.4506990434142752,112,34,47,-0.034049684210526315,112,0,0.013846207894736853,0,0.37204553916653815
10,Everton,2016/17,61,0.10130184473684212,2016,39200000.0,4.0,3.0,0.7433252427184466,113,113,47,-0.020203476315789462,34,14,0.12150532105263158,1,0.5557943485098725
10,Everton,2017/18,49,-0.3102173947368421,2017,158200000.0,7.0,7.0,2.329982694502743,113,123,61,0.10130184473684212,113,-12,-0.41151923947368424,0,1.2029671071328256
10,Everton,2018/19,54,0.11990379210526313,2018,89650000.0,6.0,3.0,1.4103562467061534,79,79,49,-0.3102173947368421,123,5,0.43012118684210526,1,0.8797745567882551
10,Everton,2019/20,49,0.11838213157894735,2019,107900000.0,6.0,4.0,1.487660278505446,79,21,54,0.11990379210526313,79,-5,-0.0015216605263157768,0,0.911342621544886
10,Everton,2020/21,59,-0.024395868421052635,2020,46870000.0,4.0,3.0,0.8198649767920662,21,21,49,0.11838213157894735,21,10,-0.142778,0,0.5987623097608077
10,Everton,2021/22,39,-0.4269609473684211,2021,2000000.0,5.0,1.0,0.031410241309178855,105,46,59,-0.024395868421052635,21,-20,-0.4025650789473685,1,0.030927032107606472
10,Everton,2022/23,36,-0.5245533263157894,2022,83070000.0,8.0,5.0,0.7244771589541434,46,125,39,-0.4269609473684211,46,-3,-0.09759237894736833,0,0.5449239082819008
10,Everton,2023/24,48,0.013081144736842161,2023,37500000.0,5.0,2.0,0.26915581968713326,125,125,36,-0.5245533263157894,125,12,0.5376344710526316,0,0.23835197054581808
10,Everton,2024/25,48,-0.1787808157894737,2024,48200000.0,6.0,3.0,0.4119552490107091,125,33,48,0.013081144736842161,125,0,-0.19186196052631585,0,0.3449754452336141
10,Everton,2025/26,49,-0.2664363157894737,2025,127750000.0,9.0,6.0,0.7194042037983416,33,33,48,-0.1787808157894737,33,1,-0.0876555,0,0.5419778376769008
11,Fulham,2023/24,47,-0.37093253947368426,2023,68470000.0,7.0,5.0,0.4914426393060804,79,79,52,-0.6185745789473684,79,-5,0.24764203947368418,0,0.3997438658396136
11,Fulham,2024/25,54,0.2308125,2024,91550000.0,6.0,4.0,0.7824585694383904,79,79,47,-0.37093253947368426,79,7,0.6017450394736843,0,0.5779936300843778
11,Fulham,2025/26,52,-0.2963878421052632,2025,40500000.0,4.0,2.0,0.22806943447227268,79,79,54,0.2308125,79,-2,-0.5272003421052632,0,0.20544337085633457
12,Huddersfield,2018/19,16,-1.0050461315789474,2018,10000000.0,4.0,3.0,0.15731804201964902,35,62,37,-0.5547978368421053,35,-21,-0.45024829473684214,0,0.14610529550208182
15,Leeds,2021/22,38,-0.5295665789473684,2021,59300000.0,6.0,4.0,0.9313136548171531,78,64,59,-0.09903471052631581,78,-21,-0.43053186842105257,0,0.658200421543857
15,Leeds,2022/23,31,-0.5732912631578947,2022,104340000.0,7.0,6.0,0.909978894489892,64,123,38,-0.5295665789473684,64,-7,-0.04372468421052633,0,0.6470921919921946
16,Leicester,2015/16,81,0.6156863157894737,2015,27000000.0,3.0,3.0,0.6208609271523179,27,27,41,-0.21541355263157894,94,40,0.8310998684210527,1,0.48295744459569545
16,Leicester,2016/17,44,-0.18325105263157893,2016,74500000.0,6.0,5.0,1.412697208737864,27,28,81,0.6156863157894737,27,-37,-0.7989373684210527,0,0.880745295444655
16,Leicester,2017/18,47,0.024473439473684216,2017,76900000.0,5.0,4.0,1.1325895651533562,28,26,44,-0.18325105263157893,28,3,0.20772449210526314,0,0.7573369995736327
16,Leicester,2018/19,52,0.19662021052631581,2018,114600000.0,7.0,7.0,1.8028647615451778,26,17,47,0.024473439473684216,26,5,0.1721467710526316,0,1.0306420232645623
16,Leicester,2019/20,62,0.34534530789473683,2019,104300000.0,5.0,4.0,1.4380256445608715,17,17,52,0.19662021052631581,17,10,0.14872509736842102,0,0.8911885496915649
16,Leicester,2020/21,66,0.30881798157894735,2020,20900000.0,2.0,1.0,0.36558946052814556,17,17,62,0.34534530789473683,17,4,-0.03652732631578948,0,0.31158617463596316
16,Leicester,2021/22,52,-0.4373136789473684,2021,37600000.0,3.0,2.0,0.5905125366125625,17,17,66,0.30881798157894735,17,-14,-0.7461316605263157,0,0.4640563143593125
16,Leicester,2022/23,34,-0.2842724342105263,2022,17000000.0,1.0,1.0,0.14826184786590152,17,36,52,-0.4373136789473684,17,-18,0.1530412447368421,0,0.13824936236422095
